order_id,customer_id,product_id,order_date,quantity,unit_price,discount_pct,status,channel
1,153,3,2024-04-19,5,2446.1,15,Completed,App
2,236,32,2023-12-21,2,5380.64,10,Completed,Referral
3,58,98,2023-02-02,4,4067.35,20,Cancelled,App
4,106,31,2023-03-10,1,3856.52,20,Completed,Referral
5,361,87,2025-06-12,1,1227.41,5,Completed,Website
6,120,57,2024-07-06,2,6909.78,0,Completed,Website
7,418,30,2025-01-19,5,2492.7,10,Completed,Referral
8,122,42,2023-11-06,2,5271.02,20,Completed,Website
9,32,36,2024-07-24,5,6837.92,5,Completed,Website
10,254,72,2023-02-18,3,1564.36,15,Cancelled,Website
11,214,90,2024-02-23,2,1771.46,10,Completed,Referral
12,124,61,2025-05-19,2,2513.75,10,Returned,App
13,469,60,2023-03-01,5,2609.1,15,Pending,Referral
14,69,68,2024-02-02,2,5764.28,10,Completed,Referral
15,473,11,2024-04-05,3,2791.82,0,Completed,App
16,138,7,2024-01-22,5,3010.11,20,Completed,App
17,412,25,2025-02-18,5,7193.97,20,Completed,App
18,156,43,2023-01-16,2,571.42,5,Pending,App
19,387,96,2024-05-05,2,533.87,20,Completed,Website
20,283,31,2023-11-26,3,3856.52,15,Completed,Referral
21,158,46,2023-09-25,3,2025.87,20,Returned,Website
22,412,13,2025-01-09,4,1014.11,10,Pending,Website
23,212,41,2023-02-16,5,7065.51,5,Completed,App
24,284,34,2024-08-21,5,2510.05,15,Completed,App
25,118,43,2024-01-24,5,571.42,5,Completed,Referral
26,173,88,2023-09-21,4,8320.34,15,Completed,Referral
27,87,46,2023-05-24,5,2025.87,15,Completed,Referral
28,491,83,2023-03-02,5,7453.98,0,Returned,App
29,25,86,2025-02-21,1,8426.07,15,Completed,Referral
30,35,30,2024-12-25,2,2492.7,0,Completed,Website
31,31,48,2024-09-24,5,1162.52,15,Completed,App
32,273,1,2024-07-18,4,962.93,0,Completed,Referral
33,275,36,2023-10-21,1,6837.92,20,Cancelled,Referral
